attribute_catalog
BDOT10k_karto
BDOT10k_skroty
BDOT10k_styk
feature
feature_values
GML_ATTRIBUTE
GML_KARTO_ZAOK
GML_METADANE
GML_PREFIX
GML_UPDATE
karto
karto_clipp
karto_clipp_war
karto_extend
karto_mask
karto_szer
